Genreid,Day
1,night,0
2,night,1
495,night,2
21,night,3
423,night,4
1,night,5
3,night,6
4,night,7
1,night,8
1,day,9
2,day,10
22,night,11
1,night,12
20,night,13
3,night,14
4,night,15
13,night,16
20,night,17
20,night,18
20,night,19
20,night,20
20,night,21
20,night,22
20,night,23
20,night,24
20,night,25
100,night,26
300,night,27
78,night,28
36,night,29
338,night,30
37,night,31
783,night,32
748,night,33
483,night,34
178,night,35
389,night,36
849,night,37
34,night,38
378,night,39
748,night,40
124,night,41
899,night,42
74,night,43
37,night,44
8,night,45
1,day,46
852,day,47
1,day,48
13181,day,49
21,day,50
13299,night,51
11391,day,52
13484,day,53
11114,night,54
14450,day,55
11895,day,56
2287,night,57
2954,day,58
11130,day,59
11587,night,60
2367,night,61
14474,night,62
5788,day,63
2774,night,64
4717,night,65
5144,night,66
16504,day,67
11351,night,68
3291,day,69
11475,day,70
13286,night,71
12177,day,72
4279,day,73
2920,day,74
10759,day,75
15822,day,76
15321,night,77
1916,day,78
7282,day,79
8336,day,80
7895,night,81
10245,day,82
725,day,83
13432,night,84
12765,night,85
13530,day,86
6171,day,87
80,night,88
6823,day,89
5559,day,90
12265,day,91
12072,day,92
9922,night,93
9159,night,94
2506,day,95
15502,night,96
3885,day,97
293,day,98
12345,night,99
3356,night,100
5855,night,101
5578,night,102
2893,day,103
4849,night,104
10254,night,105
8898,day,106
3204,day,107
6839,day,108
16388,night,109
4212,day,110
15018,night,111
11291,day,112
4647,day,113
3418,night,114
13671,day,115
10873,day,116
16362,day,117
14933,day,118
11752,night,119
13566,night,120
7642,night,121
306,day,122
14808,day,123
7716,night,124
14910,day,125
3473,day,126
11406,day,127
12586,night,128
6,day,129
436,day,130
10908,night,131
2756,night,132
11595,night,133
6347,day,134
11146,day,135
11256,day,136
8864,day,137
7896,day,138
16174,day,139
4305,day,140
8216,night,141
15270,night,142
11832,day,143
14242,day,144
15971,day,145
15194,day,146
11909,day,147
11031,night,148
2548,day,149
14191,day,150
10959,day,151
8402,night,152
385,day,153
1411,day,154
4559,night,155
9266,day,156
11060,day,157
15987,day,158
2067,day,159
7525,day,160
12818,night,161
14843,night,162
7729,night,163
9153,day,164
5222,day,165
245,day,166
6328,night,167
8337,night,168
9688,night,169
6666,night,170
3718,night,171
3912,day,172
1429,day,173
4200,night,174
7577,day,175
2634,day,176
1470,night,177
14824,night,178
14129,night,179
3677,day,180
12039,day,181
913,night,182
16016,day,183
7595,day,184
2736,night,185
4177,night,186
3049,night,187
9250,night,188
9451,night,189
9456,day,190
6990,day,191
15697,day,192
2120,night,193
9764,night,194
13202,day,195
13160,night,196
4470,night,197
14180,day,198
13476,night,199
9303,day,200
4958,night,201
39,day,202
9559,night,203
12037,night,204
955,night,205
13036,night,206
8123,day,207
9040,day,208
13611,night,209
5232,day,210
3081,day,211
14793,day,212
6977,night,213
10897,day,214
8317,night,215
8189,day,216
6120,day,217
15129,day,218
13252,night,219
15162,night,220
6706,night,221
13198,day,222
15227,day,223
6966,day,224
14361,day,225
2705,night,226
4721,night,227
2262,night,228
1103,day,229
7737,night,230
7443,night,231
3509,night,232
13472,night,233
5255,night,234
1884,day,235
3015,day,236
15175,night,237
8823,day,238
3732,night,239
9822,night,240
8674,day,241
605,day,242
9635,night,243
6659,night,244
10128,day,245
2985,day,246
964,day,247
6702,night,248
9667,day,249
1946,day,250
6979,night,251
7925,night,252
349,day,253
409,day,254
12141,night,255
12128,day,256
14588,day,257
1237,day,258
13943,day,259
4992,day,260
10770,night,261
3350,night,262
10429,night,263
9475,night,264
7809,night,265
469,night,266
9558,night,267
11750,day,268
13649,day,269
749,night,270
6808,night,271
6345,day,272
1811,night,273
3045,day,274
12922,day,275
6985,night,276
14527,day,277
11249,day,278
8867,night,279
16406,night,280
8216,day,281
10695,day,282
4167,night,283
16308,night,284
12313,night,285
15623,day,286
2096,day,287
16466,day,288
15257,day,289
7993,day,290
9545,night,291
16104,day,292
14807,day,293
11948,day,294
13690,night,295
16187,day,296
6291,day,297
3813,night,298
16673,day,299
11219,night,300
348,day,301
16393,night,302
14107,day,303
8973,night,304
3037,night,305
387,day,306
763,day,307
5696,day,308
5397,night,309
14649,day,310
6366,day,311
5581,day,312
12694,day,313
4943,night,314
6914,day,315
16140,day,316
10251,day,317
9107,night,318
6889,night,319
8306,night,320
1440,day,321
9162,night,322
1267,night,323
5084,night,324
9341,day,325
4480,day,326
15057,day,327
12352,night,328
14565,night,329
2367,day,330
4836,night,331
