Genreid,Year
752,2020
752,2022
752,2022
752,2022
752,2022
752,2018
752,2019
752,2022
852,2018
852,2021
852,2020
852,2020
852,2019
852,2020
852,2022
852,2020
852,2020
852,2020
852,2022
833,2022
833,2022
833,2022
833,2019
833,2018
833,2018
835,2022
835,2022
835,2021
835,2022
835,2020
835,2020
835,2019
770,2021
770,2019
770,2019
770,2019
760,2021
760,2019
760,2020
760,2019
760,2020
760,2021
760,2018
803,2021
803,2020
803,2018
803,2020
803,2020
803,2022
783,2018
783,2018
783,2021
783,2021
783,2022
783,2019
783,2021
783,2021
783,2020
783,2021
762,2020
762,2021
762,2020
762,2020
762,2019
762,2021
762,2019
762,2021
762,2019
762,2018
762,2020
762,2020
762,2021
794,2019
794,2021
794,2020
794,2021
794,2019
794,2019
817,2018
817,2019
817,2021
820,2018
820,2022
820,2021
820,2022
820,2019
820,2018
820,2021
797,2019
797,2018
797,2019
797,2019
797,2020
797,2020
797,2020
797,2022
797,2021
797,2020
797,2021
806,2019
806,2019
806,2022
806,2021
806,2021
806,2019
806,2020
806,2018
783,2020
783,2018
783,2021
783,2019
783,2018
783,2019
783,2019
783,2021
783,2018
783,2021
783,2018
783,2018
783,2018
783,2018
783,2019
783,2019
783,2020
772,2018
772,2018
772,2018
772,2019
772,2018
788,2018
788,2021
788,2018
763,2018
763,2021
763,2020
763,2019
763,2022
763,2022
763,2022
763,2022
763,2022
763,2022
763,2022
763,2022
763,2022
763,2022
806,2020
806,2020
806,2022
806,2022
806,2020
835,2018
835,2020
835,2019
835,2019
835,2021
835,2018
835,2022
835,2021
835,2020
835,2020
835,2021
813,2018
813,2019
813,2018
813,2018
808,2021
808,2019
808,2018
808,2021
808,2018
808,2020
808,2020
808,2020
808,2019
808,2020
794,2019
794,2022
794,2019
794,2018
840,2021
840,2019
840,2019
840,2018
840,2020
840,2020
840,2021
840,2022
840,2018
840,2020
780,2020
780,2021
780,2021
780,2021
780,2019
780,2021
774,2020
774,2019
774,2019
753,2021
753,2021
753,2019
753,2018
753,2021
753,2021
753,2021
817,2020
817,2019
817,2018
817,2019
817,2021
817,2021
835,2018
835,2019
835,2019
796,2021
796,2021
785,2019
785,2019
785,2018
785,2021
785,2020
785,2019
854,2019
854,2019
854,2020
854,2022
854,2021
843,2020
843,2019
843,2021
843,2020
843,2018
843,2019
843,2021
814,2022
814,2022
814,2018
771,2021
771,2018
771,2018
771,2020
771,2022
771,2022
771,2018
771,2018
840,2020
840,2021
840,2020
840,2018
775,2021
775,2020
775,2019
775,2019
775,2019
775,2020
