Genreid,Day
1,Saturday
2,Saturday
495,Saturday
21,Saturday
423,Saturday
1,Sunday
3,Sunday
4,Sunday
1,Sunday
1,Sunday
2,Sunday
22,Sunday
1,Sunday
20,Sunday
3,Sunday
4,Sunday
13,Sunday
20,Wednesday
20,Wednesday
20,Wednesday
20,Wednesday
20,Wednesday
20,Wednesday
20,Wednesday
20,Wednesday
20,Wednesday
100,Wednesday
300,Wednesday
78,Wednesday
36,Wednesday
338,Wednesday
37,Wednesday
783,Wednesday
748,Wednesday
483,Wednesday
178,Wednesday
389,Wednesday
849,Wednesday
34,Wednesday
378,Wednesday
748,Wednesday
124,Wednesday
899,Wednesday
74,Wednesday
37,Wednesday
8,Wednesday
1,Saturday
852,Sunday
1,Saturday
13181,Saturday
21,Saturday
13299,Sunday
11391,Sunday
13484,Saturday
11114,Saturday
14450,Sunday
11895,Sunday
2287,Sunday
2954,Sunday
11130,Sunday
11587,Sunday
2367,Saturday
14474,Sunday
5788,Saturday
2774,Sunday
4717,Saturday
5144,Saturday
16504,Saturday
11351,Sunday
3291,Saturday
11475,Saturday
13286,Sunday
12177,Sunday
4279,Saturday
2920,Saturday
10759,Sunday
15822,Saturday
15321,Sunday
1916,Saturday
7282,Saturday
8336,Sunday
7895,Sunday
10245,Saturday
725,Saturday
13432,Saturday
12765,Saturday
13530,Saturday
6171,Sunday
80,Sunday
6823,Sunday
5559,Saturday
12265,Sunday
12072,Saturday
9922,Saturday
9159,Sunday
2506,Sunday
15502,Saturday
3885,Sunday
293,Sunday
12345,Saturday
3356,Saturday
5855,Saturday
5578,Sunday
2893,Saturday
4849,Saturday
10254,Saturday
8898,Sunday
3204,Saturday
6839,Saturday
16388,Sunday
4212,Sunday
15018,Saturday
11291,Sunday
4647,Saturday
3418,Sunday
13671,Saturday
10873,Sunday
16362,Sunday
14933,Saturday
11752,Saturday
13566,Saturday
7642,Saturday
306,Saturday
14808,Sunday
7716,Saturday
14910,Saturday
3473,Saturday
11406,Saturday
12586,Sunday
6,Sunday
436,Sunday
10908,Saturday
2756,Sunday
11595,Sunday
6347,Saturday
11146,Saturday
11256,Saturday
8864,Saturday
7896,Saturday
16174,Sunday
4305,Sunday
8216,Saturday
15270,Sunday
11832,Sunday
14242,Saturday
15971,Sunday
15194,Saturday
11909,Sunday
11031,Sunday
2548,Saturday
14191,Sunday
10959,Saturday
8402,Saturday
385,Saturday
1411,Saturday
4559,Saturday
